region,suffix,allocation,demand,cost,generation,windshare,solarshare,capacity,windcapacity,solarcapacity,windpotential
Latvia,CapDen1.0,Opt,8.931369531931987,31.25839690686036,10.194596035412005,0.4434513176238403,0.18800622902227815,4.610813013167912,1.4604656486053287,1.4743803759185787,63.324687409273764
Libya,CapDen1.0,Opt,116.99670469681419,33.24244582516627,151.08098157744806,0.5154647574675376,0.36775068758007196,50.266220004137914,19.15271431355703,23.384774807779948,1449.235257418493
Mongolia,CapDen1.0,Opt,14.362193744846982,36.641185293601765,18.756325411454657,0.6532710467474829,0.24673485280488097,6.388649686550508,2.868900509715162,2.2136534964009336,872.1061177415911
Myanmar,CapDen1.0,Opt,36.95865200334855,35.52366340590606,50.76240893867727,0.15840931046964143,0.510138132451491,19.388005948982325,2.7678150527894028,13.267119910422469,7.840355220733497
Nigeria,CapDen1.0,Opt,100.28954528660181,33.20988389842134,140.92486888104605,0.19620799809722972,0.5535682009408976,46.77856488226031,8.940146847216385,32.91864685205073,198.5098901161362
Pakistan,CapDen1.0,Opt,234.29342085637919,26.536494826163455,267.54803108937665,0.4800352551013138,0.2866100658439104,80.10979162401486,32.68726537001262,31.296034928207273,243.8576489281277
Paraguay,CapDen1.0,Opt,33.38416800446106,8.032504076342608,36.38364714883273,6.876249103692437e-12,8.62150762453647e-15,6.245696330011466,8.456083351074082e-11,2.211028758069363e-13,322.26235293094527
Portugal,CapDen1.0,Opt,68.63188535039541,32.838124238255396,87.99052701170187,0.3361872477766086,0.40474099594756735,33.20565745041839,9.015549205503083,17.854354324673864,31.71016958535993
Romania,CapDen1.0,Opt,75.63642815626801,36.275989837165824,91.2612270156836,0.40773925089754365,0.3113865287626355,38.992954292908706,13.598627465473365,17.473319994003308,55.44760912148976
Saudi Arabia,CapDen1.0,Opt,1153.333063452803,34.692456404678275,1439.2220584784125,0.6173869525134362,0.28492800506696175,489.48475355958,249.1414784068269,167.90070081730934,1247.3176878063848
Slovakia,CapDen1.0,Opt,37.25657309760563,46.667984728513254,50.207451996652104,0.39294281168119033,0.37734013037626063,23.73917725966205,7.33344152651914,12.829913050361082,13.685565574064796
South Africa,CapDen1.0,Opt,769.862918143549,41.062369635007286,780.9408440320117,0.4300280097172942,0.11393364208356217,238.772431897278,96.32579297131497,54.66009211957293,765.1039685385124
Sri Lanka,CapDen1.0,Opt,29.46068677111229,31.497794566691386,40.82191263753817,0.1358783635825945,0.5276739614735368,14.40463532214834,1.6020748211795728,10.998686685808641,24.24712385500282
Sweden,CapDen1.0,Opt,178.19036713597683,21.03353831757641,184.8446991117453,0.4906736386444458,0.10196617296498268,59.29348004007653,23.941020585659167,14.060050942408534,363.58932993909286
Tajikistan,CapDen1.0,Opt,21.242819048324474,21.899668058743984,27.494052805676883,0.3262598293764764,0.13835633659428223,8.682959466602922,1.702783311286101,1.5486360875660263,47.909034590235294
Togo,CapDen1.0,Opt,4.492670623954564,41.19985169107714,6.697203445065559,0.11944943448534515,0.6025636909965879,2.560330082281239,0.3314286738446439,2.0030338472576537,0.4673035170365542
Turkmenistan,CapDen1.0,Opt,26.885973561411795,37.784853896958666,36.64219401119467,0.5485135460881254,0.3446187982082811,13.040979749496959,4.85836150041153,5.998727662790968,409.9757413284554
United Kingdom,CapDen1.0,Opt,448.3170339022916,40.85070740916528,600.568668385287,0.6378419661118016,0.2448867993354062,242.6776818845096,91.39811971194852,114.3517248823073,181.99771647710486
Yemen,CapDen1.0,Opt,16.26828003144164,30.74891010063154,19.577052552409686,0.6622328622012198,0.24193727134508922,5.770224447930008,2.7688906029207137,1.9338674882563098,319.3894732158921
Albania,CapDen1.0,Opt,9.600979329051016,23.918649375290485,10.67129374919957,0.2971419178770471,0.2695043644914687,4.167893529983438,0.9648553029788907,1.6189755140348883,3.5776627470516305
